gene_id	gene_symbol	median_cluster1	median_cluster2	diff	p_value	fdr
IFT88|8100	IFT88	8.568009244279049	8.975234656452194	-0.4072254121731458	8.488811268869797e-9	1.4810048487878185e-6
FLT4|2324	FLT4	9.941729147928	10.782203771050158	-0.8404746231221587	9.121724145647266e-9	1.5714861704076208e-6
AVPR1B|553	AVPR1B	3.741844363529121	5.026065248388886	-1.2842208848597654	9.162731895844413e-9	1.5714861704076208e-6
SLC28A1|9154	SLC28A1	10.71784010627095	11.550434167589566	-0.8325940613186162	9.601665397387232e-9	1.6329286076665783e-6
ENPP2|5168	ENPP2	11.583898224625305	12.87605260030329	-1.2921543756779847	1.0003200884883138e-8	1.6870398292355413e-6
C2orf73|129852	C2orf73	2.7594088337100358	3.345268622240287	-0.5858597885302514	1.0127628645935332e-8	1.693908665590407e-6
RASIP1|54922	RASIP1	8.505232087943707	9.300423492044056	-0.7951914041003487	1.0367895826226515e-8	1.7198809486161654e-6
DIRAS1|148252	DIRAS1	3.65427921708636	2.6653472881357607	0.9889319289505991	1.052755419076093e-8	1.7321678188017862e-6
PDE7B|27115	PDE7B	7.738783824211939	8.355624191468648	-0.6168403672567084	1.11364463421662e-8	1.8175758151028997e-6
CASC1|55259	CASC1	5.45128024718016	6.007724751376175	-0.5564445041960155	1.2206324671662987e-8	1.9550549837940125e-6
CYB5D1|124637	CYB5D1	9.373224089203951	9.78737532449117	-0.4141512352872194	1.2206324671662987e-8	1.9550549837940125e-6
ESAM|90952	ESAM	10.672191753546441	11.615266388857414	-0.9430746353109729	1.2268602774080421e-8	1.9550549837940125e-6
OAZ1|4946	OAZ1	13.047822336650366	12.631445375666837	0.41637696098352883	1.3106856631400016e-8	2.0611882381555336e-6
C5orf23|79614	C5orf23	9.666744217569763	11.505235948651134	-1.8384917310813709	1.3240661515652528e-8	2.0611882381555336e-6
HEY2|23493	HEY2	7.438417981649659	8.184131493940587	-0.7457135122909282	1.3240661515652528e-8	2.0611882381555336e-6
ABCG2|9429	ABCG2	7.391331161953689	8.459275864742606	-1.0679447027889175	1.3443860432677657e-8	2.0611882381555336e-6
ACLY|47	ACLY	12.78655401190991	13.240433594827177	-0.45387958291726704	1.3443860432677657e-8	2.0611882381555336e-6
RGS7BP|401190	RGS7BP	4.738031268826597	6.072062913545685	-1.3340316447190883	1.4214705004846331e-8	2.1425728163283876e-6
FLI1|2313	FLI1	9.42223778795309	10.050542509380051	-0.6283047214269608	1.421516603505442e-8	2.1425728163283876e-6
LOC723809|723809	LOC723809	4.519012247826445	6.3015163148364834	-1.7825040670100387	1.4359203538806816e-8	2.1425728163283876e-6
GABRQ|55879	GABRQ	1.7453887482685135	2.8464933159645622	-1.1011045676960487	1.4398157081760092e-8	2.1425728163283876e-6
EML1|2009	EML1	9.138058965623761	9.60468109233736	-0.4666221267135988	1.495353539219318e-8	2.208975542096391e-6
SLCO4C1|353189	SLCO4C1	10.115958870475556	11.12777512813563	-1.0118162576600742	1.5105616301848654e-8	2.2104874086170787e-6
UGT2A3|79799	UGT2A3	10.236366827566222	11.452611906738912	-1.2162450791726904	1.5182219082803337e-8	2.2104874086170787e-6
