protein	median_cluster1	median_cluster2	diff	p_value	fdr
GAB2	1.1137033805	1.590911232	-0.4772078515	2.5857433684589444e-5	4.607324547435937e-5
FIBRONECTIN	0.220081147	-0.043239429	0.26332057600000003	2.8784374601489094e-5	5.082646326028705e-5
PRDX1	-1.2995297140000002	-1.474175097	0.17464538299999988	3.601545377452454e-5	6.302704410541794e-5
SCD1	-1.2061463895000002	-1.299500475	0.0933540854999999	8.639801793507268e-5	1.4985850898472785e-4
MYOSINIIA_pS1943	-0.7291711464999999	-0.581991606	-0.14717954049999993	1.348591227562719e-4	2.3186305315990607e-4
DIRAS3	-2.4524145615	-2.573554628	0.1211400665000002	2.562339046357876e-4	4.3671169833577706e-4
MSH6	-0.6362691125	-0.485502356	-0.15076675649999993	3.214634291307853e-4	5.431623457727062e-4
VEGFR2	1.7605452325	1.977995473	-0.21745024050000006	4.363658050870812e-4	7.310059640775036e-4
BAP1C4	-1.3534017545	-1.180950468	-0.17245128650000008	5.953650416466134e-4	9.889114251079342e-4
DVL3	0.02726648	0.119582526	-0.092316046	7.297270777313386e-4	0.0012019034221457342
SHC_pY317	-2.081777322	-1.921069031	-0.16070829100000017	7.5310495195676e-4	0.0012300714215293747
BECLIN	-0.6884069184999999	-0.825794873	0.13738795450000008	8.04479488813119e-4	0.0013031238000609199
SRC	-0.531480805	-0.631363966	0.09988316100000005	9.489498808889478e-4	0.00152454243159208
FASN	-1.417026578	-1.617773581	0.20074700300000003	0.0010219748991709362	0.001628512847459378
HER3	0.4653675035	0.896673611	-0.4313061075	0.001449660544144485	0.0022913989246154762
PREX1	-1.0177505185	-0.870830825	-0.1469196935	0.001576230305801693	0.0024715291194970547
RAPTOR	1.318843388	1.460730174	-0.14188678600000015	0.0017230735816696494	0.0026803366825972324
RAB11	-0.0682932745	0.089044089	-0.1573373635	0.0018604052420650356	0.0028711765940531257
KU80	0.8489120535	0.986981947	-0.13806989349999998	0.0018824042042857073	0.0028824314378124894
PKCALPHA_pS657	-0.48222905299999996	-0.291306766	-0.19092228699999997	0.001927120589205138	0.0029280281820481167
CLAUDIN7	-0.2441821245	-0.411746452	0.1675643275	0.00203132072329629	0.003062606628969791
HSP70	1.493806324	1.272816437	0.220989887	0.002375716002805106	0.003554506385876342
RICTOR	0.1473256135	0.33140035	-0.1840747365	0.002403238706631544	0.0035684453522710803
SMAD1	-0.0167937495	-0.098925527	0.0821317775	0.003018607417220766	0.004448474088535865
CHK2	-0.9641312485	-1.073333802	0.10920255350000008	0.0031668442752790533	0.004632100581751451
CRAF	0.6380567285000001	0.689360241	-0.05130351249999998	0.004015804948349002	0.005830353850936329
MEK1	0.7691893034999999	0.901073094	-0.1318837905000001	0.004438990642112975	0.006397368866574582
BIM	-0.1021942195	-0.166236767	0.0640425475	0.0063392211315307775	0.009069250669927243
S6	-0.2691136225	-0.025094796	-0.24401882649999998	0.00661139622248127	0.009390098982654558
RB_pS807S811	-0.8441662775000001	-0.759176909	-0.08498936850000005	0.008241268921286007	0.011620782076057965
TFRC	0.263124784	-0.063752895	0.326877679	0.00886325259761729	0.012408553636664205
TRANSGLUTAMINASE	0.157298934	0.559123788	-0.40182485399999995	0.013538799222832618	0.01881989111826378
INPP4B	-1.0395870405	-1.15006252	0.11047547950000003	0.013803779674279933	0.019053104339146948
PRAS40_pT246	0.6126320295	0.512097877	0.10053415249999997	0.014416977135667171	0.01976033229783752
P27	0.159103799	0.216240704	-0.057136905000000016	0.015678268411594837	0.021332984261194114
ARID1A	-0.11129602699999999	-0.143369277	0.03207325	0.015782054683026257	0.021332984261194114
BAX	1.4556873555	1.349619319	0.10606803649999996	0.017731442102512318	0.023803853781454894
SRC_pY416	-0.1456128405	0.057031521	-0.2026443615	0.019377116425210283	0.02583615523361371
