patient_id	PC1	PC2	cluster
TCGA-BP-5000	-4.837055274511173	2.711580487801731	2
TCGA-BP-5001	-0.005083483479912203	0.8619949606795967	2
TCGA-BP-5004	3.6453431117169663	3.1849988140486576	1
TCGA-BP-5006	-2.3154825423910754	-2.7033359722114434	2
TCGA-BP-5007	-0.7007519806407819	-2.6205157074859624	2
TCGA-BP-5008	2.347645435007067	-5.992987555132248	2
TCGA-BP-5009	-5.2862696401208265	-1.8364845367819	2
TCGA-BP-5010	-1.0037929959673593	-3.931662499188304	2
TCGA-BP-5168	0.05995739037503052	-2.414639637573556	2
TCGA-BP-5169	6.652170526880466	7.863246169805282	1
TCGA-BP-5170	0.32603115657465165	-0.013835862860178662	2
TCGA-BP-5173	-2.7705016805625333	-3.1941800298816645	2
TCGA-BP-5174	-4.999788806923549	-0.8237299615695377	2
TCGA-BP-5175	0.43034127243202436	4.032240166994025	2
TCGA-BP-5176	-3.12692887218877	-0.07852975032493421	2
TCGA-BP-5177	3.2799528784265886	-6.285952030499176	2
TCGA-BP-5178	1.4785489973305666	4.6950135038464715	2
TCGA-BP-5180	-5.984221770686972	-1.1654927833846909	2
TCGA-BP-5181	-4.1798030650006535	-1.954546003356606	2
TCGA-BP-5182	2.0565349462323477	-6.799919432524008	2
TCGA-BP-5183	-5.156042092243504	-1.3025111865183738	2
TCGA-BP-5184	-3.1816549402265033	-5.706574936511686	2
TCGA-BP-5185	-0.07722945692753838	1.7686657948760358	2
TCGA-BP-5186	-0.11339446837296382	-4.332490414031462	2
TCGA-BP-5187	3.7255223354225664	-0.29248984785776255	1
TCGA-BP-5189	-3.0815723688868824	-0.5992879034814688	2
TCGA-BP-5190	-3.6407013087092346	1.9171748619741709	2
TCGA-BP-5191	-3.614941823861176	-0.11837129169311647	2
TCGA-BP-5192	0.17726655988332596	-3.415940059995232	2
TCGA-BP-5194	13.090696613120404	-5.820596286790734	1
TCGA-BP-5195	-1.9317683724924655	-0.5897041372588249	2
TCGA-BP-5196	-2.331634663761717	-4.479348650310089	2
TCGA-BP-5198	5.047235492442091	-2.177825169835961	1
TCGA-BP-5199	-3.7260876493705304	-0.1687009825821697	2
TCGA-BP-5200	2.2699849148090645	-5.717108512143952	2
TCGA-BP-5201	-4.2934581235314395	1.8042175422778735	2
TCGA-BP-5202	1.0209359237585605	-4.644026437563406	2
TCGA-CJ-4634	1.6582329051498597	-2.311207808812789	2
TCGA-CJ-4635	-2.994468340678005	4.07450192493562	2
TCGA-CJ-4638	0.09493574777669411	5.8674886596598785	2
TCGA-CJ-4640	-4.09822441825515	1.8757028447970687	2
TCGA-CJ-4642	-0.2941097642063506	-4.845896836692236	2
